subject,imtype,region,category,sequence,signal_change
R3290,global,ffa_38_bilat,face,same,0.09078
R3290,global,ffa_38_bilat,face,diff,0.1596
R3290,global,ffa_38_bilat,house,same,-0.08016
R3290,global,ffa_38_bilat,house,diff,-0.0415
R3290,global,ffa_38_left,face,same,0.1132
R3290,global,ffa_38_left,face,diff,0.03825
R3290,global,ffa_38_left,house,same,-0.07616
R3290,global,ffa_38_left,house,diff,-0.1165
R3290,global,ffa_38_right,face,same,0.09049
R3290,global,ffa_38_right,face,diff,0.1611
R3290,global,ffa_38_right,house,same,-0.08021
R3290,global,ffa_38_right,house,diff,-0.04054
R3290,global,ffa_left_100,face,same,0.5116
R3290,global,ffa_left_100,face,diff,0.3574
R3290,global,ffa_left_100,house,same,0.3051
R3290,global,ffa_left_100,house,diff,0.6699
R3290,global,ffa_left_150,face,same,0.5034
R3290,global,ffa_left_150,face,diff,0.3554
R3290,global,ffa_left_150,house,same,0.2905
R3290,global,ffa_left_150,house,diff,0.6467
R3290,global,ffa_left_23,face,same,0.5034
R3290,global,ffa_left_23,face,diff,0.3554
R3290,global,ffa_left_23,house,same,0.2905
R3290,global,ffa_left_23,house,diff,0.6467
R3290,global,ffa_left_31,face,same,0.5928
R3290,global,ffa_left_31,face,diff,0.3811
R3290,global,ffa_left_31,house,same,0.3834
R3290,global,ffa_left_31,house,diff,0.848
R3290,global,ffa_left_50,face,same,0.6024
R3290,global,ffa_left_50,face,diff,0.4069
R3290,global,ffa_left_50,house,same,0.3895
R3290,global,ffa_left_50,house,diff,0.8015
R3290,global,ffa_right_100,face,same,0.6092
R3290,global,ffa_right_100,face,diff,0.4061
R3290,global,ffa_right_100,house,same,0.268
R3290,global,ffa_right_100,house,diff,0.4418
R3290,global,ffa_right_150,face,same,0.5566
R3290,global,ffa_right_150,face,diff,0.3729
R3290,global,ffa_right_150,house,same,0.2493
R3290,global,ffa_right_150,house,diff,0.4096
R3290,global,ffa_right_23,face,same,0.4052
R3290,global,ffa_right_23,face,diff,0.3079
R3290,global,ffa_right_23,house,same,0.1528
R3290,global,ffa_right_23,house,diff,0.3145
R3290,global,ffa_right_31,face,same,0.5342
R3290,global,ffa_right_31,face,diff,0.3622
R3290,global,ffa_right_31,house,same,0.2343
R3290,global,ffa_right_31,house,diff,0.3962
R3290,global,ffa_right_50,face,same,0.5364
R3290,global,ffa_right_50,face,diff,0.3441
R3290,global,ffa_right_50,house,same,0.1814
