subject,imtype,region,category,sequence,signal_change
R3779,intact,ppa_38_right,face,diff,-0.1528
R3779,intact,ppa_38_right,house,same,0.2398
R3779,intact,ppa_38_right,house,diff,0.4619
R3779,intact,ppa_left_100,face,same,-0.231
R3779,intact,ppa_left_100,face,diff,-0.1979
R3779,intact,ppa_left_100,house,same,0.3418
R3779,intact,ppa_left_100,house,diff,0.7624
R3779,intact,ppa_left_150,face,same,-0.09221
R3779,intact,ppa_left_150,face,diff,-0.08796
R3779,intact,ppa_left_150,house,same,0.2956
R3779,intact,ppa_left_150,house,diff,0.6879
R3779,intact,ppa_left_23,face,same,-0.125
R3779,intact,ppa_left_23,face,diff,-0.09977
R3779,intact,ppa_left_23,house,same,0.1987
R3779,intact,ppa_left_23,house,diff,0.559
R3779,intact,ppa_left_31,face,same,-0.0732
R3779,intact,ppa_left_31,face,diff,-0.06662
R3779,intact,ppa_left_31,house,same,0.3417
R3779,intact,ppa_left_31,house,diff,0.7588
R3779,intact,ppa_left_50,face,same,-0.1895
R3779,intact,ppa_left_50,face,diff,-0.1657
R3779,intact,ppa_left_50,house,same,0.4829
R3779,intact,ppa_left_50,house,diff,0.914
R3779,intact,ppa_right_100,face,same,-0.003366
R3779,intact,ppa_right_100,face,diff,-0.02307
R3779,intact,ppa_right_100,house,same,0.405
R3779,intact,ppa_right_100,house,diff,0.7881
R3779,intact,ppa_right_150,face,same,0.02777
R3779,intact,ppa_right_150,face,diff,0.01167
R3779,intact,ppa_right_150,house,same,0.4207
R3779,intact,ppa_right_150,house,diff,0.8048
R3779,intact,ppa_right_23,face,same,0.07356
R3779,intact,ppa_right_23,face,diff,0.07091
R3779,intact,ppa_right_23,house,same,0.3616
R3779,intact,ppa_right_23,house,diff,0.7018
R3779,intact,ppa_right_31,face,same,0.09819
R3779,intact,ppa_right_31,face,diff,0.08123
R3779,intact,ppa_right_31,house,same,0.437
R3779,intact,ppa_right_31,house,diff,0.8248
R3779,intact,ppa_right_50,face,same,0.04019
R3779,intact,ppa_right_50,face,diff,0.03356
R3779,intact,ppa_right_50,house,same,0.4838
R3779,intact,ppa_right_50,house,diff,0.9024
R3779,intact,psts_24_bilat,face,same,-0.1032
R3779,intact,psts_24_bilat,face,diff,-0.1301
R3779,intact,psts_24_bilat,house,same,-0.0946
R3779,intact,psts_24_bilat,house,diff,-0.1111
R3779,intact,psts_left_100,face,same,-0.1649
R3779,intact,psts_left_100,face,diff,-0.02096
R3779,intact,psts_left_100,house,same,-0.2573
R3779,intact,psts_left_100,house,diff,-0.3086
R3779,intact,psts_right_100,face,same,0.1831
R3779,intact,psts_right_100,face,diff,0.1164
R3779,intact,psts_right_100,house,same,-0.05843
R3779,intact,psts_right_100,house,diff,0.02553
R3779,intact,rsc_24_bilat,face,same,-0.3793
R3779,intact,rsc_24_bilat,face,diff,-0.4341
R3779,intact,rsc_24_bilat,house,same,-0.3798
R3779,intact,rsc_24_bilat,house,diff,-0.2411
R3779,intact,ventral_stream,face,same,-0.1306
R3779,intact,ventral_stream,face,diff,-0.08399
R3779,intact,ventral_stream,house,same,-0.1457
R3779,intact,ventral_stream,house,diff,0.1271
R3779,intact,ventral_stream_sub_V1V4,face,same,-0.1182
R3779,intact,ventral_stream_sub_V1V4,face,diff,-0.05721
R3779,intact,ventral_stream_sub_V1V4,house,same,-0.1098
R3779,intact,ventral_stream_sub_V1V4,house,diff,0.1524
R3861,global,IPS0,face,same,0.007386
R3861,global,IPS0,face,diff,-0.1383
R3861,global,IPS0,house,same,-0.1216
R3861,global,IPS0,house,diff,0.09209
R3861,global,IPS1,face,same,0.0296
R3861,global,IPS1,face,diff,-0.1133
R3861,global,IPS1,house,same,-0.03824
R3861,global,IPS1,house,diff,0.2242
R3861,global,IPS2,face,same,0.02143
R3861,global,IPS2,face,diff,-0.1697
R3861,global,IPS2,house,same,-0.1421
R3861,global,IPS2,house,diff,0.1256
R3861,global,IPS3,face,same,-0.1515
R3861,global,IPS3,face,diff,-0.2964
R3861,global,IPS3,house,same,-0.2715
R3861,global,IPS3,house,diff,-0.1051
R3861,global,IPS4,face,same,-0.1547
R3861,global,IPS4,face,diff,-0.2531
R3861,global,IPS4,house,same,-0.2423
R3861,global,IPS4,house,diff,-0.1773
R3861,global,IPS5,face,same,-0.04348
R3861,global,IPS5,face,diff,-0.1948
R3861,global,IPS5,house,same,-0.1909
R3861,global,IPS5,house,diff,-0.1382
R3861,global,LO1,face,same,0.9193
R3861,global,LO1,face,diff,0.9849
R3861,global,LO1,house,same,0.7844
R3861,global,LO1,house,diff,0.9661
R3861,global,LO2,face,same,0.4859
R3861,global,LO2,face,diff,0.5282
R3861,global,LO2,house,same,0.4509
R3861,global,LO2,house,diff,0.6028
R3861,global,MST,face,same,0.0873
R3861,global,MST,face,diff,0.000397
R3861,global,MST,house,same,0.06761
R3861,global,MST,house,diff,0.0744
R3861,global,PHC1,face,same,0.1044
R3861,global,PHC1,face,diff,0.1656
R3861,global,PHC1,house,same,0.1332
R3861,global,PHC1,house,diff,0.1684
R3861,global,PHC2,face,same,-0.0473
R3861,global,PHC2,face,diff,-0.03651
R3861,global,PHC2,house,same,0.001666
R3861,global,PHC2,house,diff,0.0385
R3861,global,SPL1,face,same,-0.1396
R3861,global,SPL1,face,diff,-0.2577
R3861,global,SPL1,house,same,-0.1981
R3861,global,SPL1,house,diff,0.05226
R3861,global,V1,face,same,0.7365
R3861,global,V1,face,diff,0.812
R3861,global,V1,house,same,0.7812
R3861,global,V1,house,diff,0.9468
R3861,global,V1-V3,face,same,1.008
R3861,global,V1-V3,face,diff,1.082
R3861,global,V1-V3,house,same,1.039
R3861,global,V1-V3,house,diff,1.196
R3861,global,V1-V4,face,same,0.9676
R3861,global,V1-V4,face,diff,1.041
R3861,global,V1-V4,house,same,0.9988
R3861,global,V1-V4,house,diff,1.147
R3861,global,V1d,face,same,0.627
R3861,global,V1d,face,diff,0.6949
R3861,global,V1d,house,same,0.6743
R3861,global,V1d,house,diff,0.7737
R3861,global,V1v,face,same,0.7748
R3861,global,V1v,face,diff,0.868
R3861,global,V1v,house,same,0.8181
R3861,global,V1v,house,diff,1.047
R3861,global,V2,face,same,1.029
R3861,global,V2,face,diff,1.066
R3861,global,V2,house,same,1.054
R3861,global,V2,house,diff,1.203
R3861,global,V2d,face,same,1.133
R3861,global,V2d,face,diff,1.159
R3861,global,V2d,house,same,1.15
R3861,global,V2d,house,diff,1.255
R3861,global,V2v,face,same,0.9315
R3861,global,V2v,face,diff,0.98
R3861,global,V2v,house,same,0.9645
R3861,global,V2v,house,diff,1.155
R3861,global,V3,face,same,1.071
R3861,global,V3,face,diff,1.126
R3861,global,V3,house,same,1.043
R3861,global,V3,house,diff,1.156
R3861,global,V3a,face,same,0.9336
R3861,global,V3a,face,diff,0.898
R3861,global,V3a,house,same,0.7739
R3861,global,V3a,house,diff,0.9877
R3861,global,V3b,face,same,0.983
R3861,global,V3b,face,diff,0.9202
R3861,global,V3b,house,same,0.7747
R3861,global,V3b,house,diff,1.011
R3861,global,V3d,face,same,1.483
R3861,global,V3d,face,diff,1.531
R3861,global,V3d,house,same,1.425
R3861,global,V3d,house,diff,1.568
R3861,global,V3v,face,same,0.6042
R3861,global,V3v,face,diff,0.6661
R3861,global,V3v,house,same,0.6103
R3861,global,V3v,house,diff,0.6891
R3861,global,VO1,face,same,0.3446
R3861,global,VO1,face,diff,0.419
R3861,global,VO1,house,same,0.4078
R3861,global,VO1,house,diff,0.4204
R3861,global,VO2,face,same,0.2654
R3861,global,VO2,face,diff,0.3487
R3861,global,VO2,house,same,0.2895
R3861,global,VO2,house,diff,0.339
R3861,global,all_regions,face,same,0.7483
R3861,global,all_regions,face,diff,0.7789
R3861,global,all_regions,house,same,0.7294
R3861,global,all_regions,house,diff,0.8829
R3861,global,ffa_24_bilat,face,same,0.2719
R3861,global,ffa_24_bilat,face,diff,0.2741
R3861,global,ffa_24_bilat,house,same,0.2466
R3861,global,ffa_24_bilat,house,diff,0.3225
R3861,global,ffa_24_left,face,same,0.1419
R3861,global,ffa_24_left,face,diff,0.1802
R3861,global,ffa_24_left,house,same,0.1811
R3861,global,ffa_24_left,house,diff,0.2179
R3861,global,ffa_24_right,face,same,0.412
R3861,global,ffa_24_right,face,diff,0.3752
R3861,global,ffa_24_right,house,same,0.3171
R3861,global,ffa_24_right,house,diff,0.4351
R3861,global,ffa_31_bilat,face,same,0.3241
R3861,global,ffa_31_bilat,face,diff,0.3413
R3861,global,ffa_31_bilat,house,same,0.311
R3861,global,ffa_31_bilat,house,diff,0.3725
R3861,global,ffa_31_left,face,same,0.1673
R3861,global,ffa_31_left,face,diff,0.2196
R3861,global,ffa_31_left,house,same,0.2128
R3861,global,ffa_31_left,house,diff,0.2367
R3861,global,ffa_31_right,face,same,0.4741
R3861,global,ffa_31_right,face,diff,0.4577
R3861,global,ffa_31_right,house,same,0.405
R3861,global,ffa_31_right,house,diff,0.5025
R3861,global,ffa_38_bilat,face,same,0.4483
R3861,global,ffa_38_bilat,face,diff,0.4256
R3861,global,ffa_38_bilat,house,same,0.4158
R3861,global,ffa_38_bilat,house,diff,0.4613
R3861,global,ffa_38_left,face,same,-0.1043
R3861,global,ffa_38_left,face,diff,-0.04202
R3861,global,ffa_38_left,house,same,-0.1004
R3861,global,ffa_38_left,house,diff,-0.192
R3861,global,ffa_38_right,face,same,0.4559
R3861,global,ffa_38_right,face,diff,0.432
R3861,global,ffa_38_right,house,same,0.4229
R3861,global,ffa_38_right,house,diff,0.4702
R3861,global,ffa_left_100,face,same,0.1184
R3861,global,ffa_left_100,face,diff,0.1526
R3861,global,ffa_left_100,house,same,0.1156
R3861,global,ffa_left_100,house,diff,0.1821
R3861,global,ffa_left_150,face,same,0.1184
R3861,global,ffa_left_150,face,diff,0.1526
R3861,global,ffa_left_150,house,same,0.1156
R3861,global,ffa_left_150,house,diff,0.1821
R3861,global,ffa_left_23,face,same,0.1184
R3861,global,ffa_left_23,face,diff,0.1526
R3861,global,ffa_left_23,house,same,0.1156
R3861,global,ffa_left_23,house,diff,0.1821
R3861,global,ffa_left_31,face,same,0.1168
R3861,global,ffa_left_31,face,diff,0.1232
R3861,global,ffa_left_31,house,same,0.1013
R3861,global,ffa_left_31,house,diff,0.1196
R3861,global,ffa_left_50,face,same,0.1168
R3861,global,ffa_left_50,face,diff,0.1236
R3861,global,ffa_left_50,house,same,0.1056
R3861,global,ffa_left_50,house,diff,0.1296
R3861,global,ffa_right_100,face,same,0.4082
R3861,global,ffa_right_100,face,diff,0.3937
R3861,global,ffa_right_100,house,same,0.3447
R3861,global,ffa_right_100,house,diff,0.3962
R3861,global,ffa_right_150,face,same,0.4082
R3861,global,ffa_right_150,face,diff,0.3937
R3861,global,ffa_right_150,house,same,0.3447
R3861,global,ffa_right_150,house,diff,0.3962
R3861,global,ffa_right_23,face,same,0.4082
R3861,global,ffa_right_23,face,diff,0.3937
R3861,global,ffa_right_23,house,same,0.3447
R3861,global,ffa_right_23,house,diff,0.3962
R3861,global,ffa_right_31,face,same,0.4191
R3861,global,ffa_right_31,face,diff,0.4054
R3861,global,ffa_right_31,house,same,0.3616
R3861,global,ffa_right_31,house,diff,0.4159
R3861,global,ffa_right_50,face,same,0.4148
R3861,global,ffa_right_50,face,diff,0.3978
R3861,global,ffa_right_50,house,same,0.3553
R3861,global,ffa_right_50,house,diff,0.4126
R3861,global,hMT,face,same,0.3078
R3861,global,hMT,face,diff,0.2325
R3861,global,hMT,house,same,0.3093
R3861,global,hMT,house,diff,0.3619
R3861,global,hV4,face,same,0.5152
R3861,global,hV4,face,diff,0.5721
R3861,global,hV4,house,same,0.5339
R3861,global,hV4,house,diff,0.5965
R3861,global,ofa_24_bilat,face,same,0.2172
R3861,global,ofa_24_bilat,face,diff,0.2159
R3861,global,ofa_24_bilat,house,same,0.07914
R3861,global,ofa_24_bilat,house,diff,0.1417
R3861,global,ofa_left_100,face,same,0.1306
R3861,global,ofa_left_100,face,diff,0.2638
R3861,global,ofa_left_100,house,same,0.05123
R3861,global,ofa_left_100,house,diff,0.2456
R3861,global,ofa_right_100,face,same,0.5318
R3861,global,ofa_right_100,face,diff,0.6212
R3861,global,ofa_right_100,house,same,0.2796
R3861,global,ofa_right_100,house,diff,0.5423
R3861,global,opa_24_bilat,face,same,0.5998
R3861,global,opa_24_bilat,face,diff,0.6358
R3861,global,opa_24_bilat,house,same,0.585
R3861,global,opa_24_bilat,house,diff,0.7105
R3861,global,opa_left_100,face,same,1.257
R3861,global,opa_left_100,face,diff,1.309
R3861,global,opa_left_100,house,same,1.092
R3861,global,opa_left_100,house,diff,1.396
R3861,global,opa_right_100,face,same,0.2988
R3861,global,opa_right_100,face,diff,0.2899
R3861,global,opa_right_100,house,same,0.2478
R3861,global,opa_right_100,house,diff,0.4155
R3861,global,ppa_24_bilat,face,same,0.3345
R3861,global,ppa_24_bilat,face,diff,0.3549
R3861,global,ppa_24_bilat,house,same,0.3533
R3861,global,ppa_24_bilat,house,diff,0.4203
R3861,global,ppa_24_left,face,same,0.2969
R3861,global,ppa_24_left,face,diff,0.3253
R3861,global,ppa_24_left,house,same,0.3292
R3861,global,ppa_24_left,house,diff,0.3717
R3861,global,ppa_24_right,face,same,0.3712
R3861,global,ppa_24_right,face,diff,0.3837
R3861,global,ppa_24_right,house,same,0.3769
R3861,global,ppa_24_right,house,diff,0.4677
R3861,global,ppa_31_bilat,face,same,0.3767
R3861,global,ppa_31_bilat,face,diff,0.3985
R3861,global,ppa_31_bilat,house,same,0.4022
R3861,global,ppa_31_bilat,house,diff,0.469
R3861,global,ppa_31_left,face,same,0.3355
R3861,global,ppa_31_left,face,diff,0.3659
R3861,global,ppa_31_left,house,same,0.3803
R3861,global,ppa_31_left,house,diff,0.4164
R3861,global,ppa_31_right,face,same,0.4154
R3861,global,ppa_31_right,face,diff,0.429
R3861,global,ppa_31_right,house,same,0.4229
R3861,global,ppa_31_right,house,diff,0.5183
R3861,global,ppa_38_bilat,face,same,0.4304
R3861,global,ppa_38_bilat,face,diff,0.4551
R3861,global,ppa_38_bilat,house,same,0.4667
R3861,global,ppa_38_bilat,house,diff,0.5413
R3861,global,ppa_38_left,face,same,0.3955
R3861,global,ppa_38_left,face,diff,0.4239
R3861,global,ppa_38_left,house,same,0.4519
R3861,global,ppa_38_left,house,diff,0.4987
R3861,global,ppa_38_right,face,same,0.4597
R3861,global,ppa_38_right,face,diff,0.4812
R3861,global,ppa_38_right,house,same,0.4791
R3861,global,ppa_38_right,house,diff,0.577
R3861,global,ppa_left_100,face,same,0.2915
R3861,global,ppa_left_100,face,diff,0.3157
R3861,global,ppa_left_100,house,same,0.3702
R3861,global,ppa_left_100,house,diff,0.4325
R3861,global,ppa_left_150,face,same,0.2971
R3861,global,ppa_left_150,face,diff,0.3115
R3861,global,ppa_left_150,house,same,0.3619
R3861,global,ppa_left_150,house,diff,0.4207
R3861,global,ppa_left_23,face,same,0.2325
R3861,global,ppa_left_23,face,diff,0.2423
R3861,global,ppa_left_23,house,same,0.2669
R3861,global,ppa_left_23,house,diff,0.3267
R3861,global,ppa_left_31,face,same,0.257
R3861,global,ppa_left_31,face,diff,0.2636
R3861,global,ppa_left_31,house,same,0.2986
R3861,global,ppa_left_31,house,diff,0.3593
R3861,global,ppa_left_50,face,same,0.2592
R3861,global,ppa_left_50,face,diff,0.2863
R3861,global,ppa_left_50,house,same,0.3541
R3861,global,ppa_left_50,house,diff,0.4258
R3861,global,ppa_right_100,face,same,0.4195
R3861,global,ppa_right_100,face,diff,0.4567
R3861,global,ppa_right_100,house,same,0.4525
R3861,global,ppa_right_100,house,diff,0.5594
R3861,global,ppa_right_150,face,same,0.4406
R3861,global,ppa_right_150,face,diff,0.4689
R3861,global,ppa_right_150,house,same,0.4658
R3861,global,ppa_right_150,house,diff,0.5712
R3861,global,ppa_right_23,face,same,0.3139
R3861,global,ppa_right_23,face,diff,0.3033
R3861,global,ppa_right_23,house,same,0.3393
R3861,global,ppa_right_23,house,diff,0.442
R3861,global,ppa_right_31,face,same,0.3598
R3861,global,ppa_right_31,face,diff,0.365
R3861,global,ppa_right_31,house,same,0.3856
R3861,global,ppa_right_31,house,diff,0.4766
R3861,global,ppa_right_50,face,same,0.3649
R3861,global,ppa_right_50,face,diff,0.4089
R3861,global,ppa_right_50,house,same,0.4238
R3861,global,ppa_right_50,house,diff,0.5194
R3861,global,psts_24_bilat,face,same,0.2103
R3861,global,psts_24_bilat,face,diff,0.2142
R3861,global,psts_24_bilat,house,same,0.02785
R3861,global,psts_24_bilat,house,diff,0.2092
R3861,global,psts_left_100,face,same,0.1876
R3861,global,psts_left_100,face,diff,0.3234
R3861,global,psts_left_100,house,same,0.08614
R3861,global,psts_left_100,house,diff,0.1236
R3861,global,psts_right_100,face,same,0.44
R3861,global,psts_right_100,face,diff,0.4502
R3861,global,psts_right_100,house,same,0.3139
R3861,global,psts_right_100,house,diff,0.3935
R3861,global,rsc_24_bilat,face,same,0.03013
R3861,global,rsc_24_bilat,face,diff,-0.1408
R3861,global,rsc_24_bilat,house,same,-0.00156
R3861,global,rsc_24_bilat,house,diff,0.1639
R3861,global,ventral_stream,face,same,0.3586
R3861,global,ventral_stream,face,diff,0.3566
R3861,global,ventral_stream,house,same,0.3515
R3861,global,ventral_stream,house,diff,0.4845
R3861,global,ventral_stream_sub_V1V4,face,same,0.2562
R3861,global,ventral_stream_sub_V1V4,face,diff,0.2353
R3861,global,ventral_stream_sub_V1V4,house,same,0.2447
R3861,global,ventral_stream_sub_V1V4,house,diff,0.3737
R3861,local,IPS0,face,same,0.1854
R3861,local,IPS0,face,diff,-0.0284
R3861,local,IPS0,house,same,0.1637
R3861,local,IPS0,house,diff,0.3199
R3861,local,IPS1,face,same,0.5499
R3861,local,IPS1,face,diff,0.248
R3861,local,IPS1,house,same,0.4048
R3861,local,IPS1,house,diff,0.5636
R3861,local,IPS2,face,same,0.5977
R3861,local,IPS2,face,diff,0.1813
R3861,local,IPS2,house,same,0.3339
R3861,local,IPS2,house,diff,0.4988
R3861,local,IPS3,face,same,0.4515
R3861,local,IPS3,face,diff,0.3972
R3861,local,IPS3,house,same,0.2125
R3861,local,IPS3,house,diff,0.5189
R3861,local,IPS4,face,same,0.2928
R3861,local,IPS4,face,diff,0.327
R3861,local,IPS4,house,same,0.08017
R3861,local,IPS4,house,diff,0.3062
R3861,local,IPS5,face,same,0.2937
R3861,local,IPS5,face,diff,0.3183
R3861,local,IPS5,house,same,0.1186
R3861,local,IPS5,house,diff,0.3488
R3861,local,LO1,face,same,1.214
R3861,local,LO1,face,diff,0.9014
R3861,local,LO1,house,same,1.043
R3861,local,LO1,house,diff,1.573
R3861,local,LO2,face,same,0.7961
R3861,local,LO2,face,diff,0.5075
R3861,local,LO2,house,same,0.6413
R3861,local,LO2,house,diff,1.174
R3861,local,MST,face,same,-0.02488
R3861,local,MST,face,diff,-0.1023
R3861,local,MST,house,same,-0.02048
R3861,local,MST,house,diff,0.03579
R3861,local,PHC1,face,same,0.1703
R3861,local,PHC1,face,diff,-0.1051
R3861,local,PHC1,house,same,0.1253
R3861,local,PHC1,house,diff,0.3086
R3861,local,PHC2,face,same,-0.02916
R3861,local,PHC2,face,diff,-0.1552
R3861,local,PHC2,house,same,-0.04616
R3861,local,PHC2,house,diff,0.07124
R3861,local,SPL1,face,same,0.4993
R3861,local,SPL1,face,diff,0.2657
R3861,local,SPL1,house,same,0.2384
R3861,local,SPL1,house,diff,0.5403
R3861,local,V1,face,same,0.5354
R3861,local,V1,face,diff,0.229
R3861,local,V1,house,same,0.6628
R3861,local,V1,house,diff,0.8446
R3861,local,V1-V3,face,same,0.7772
R3861,local,V1-V3,face,diff,0.4963
R3861,local,V1-V3,house,same,0.9291
R3861,local,V1-V3,house,diff,1.194
R3861,local,V1-V4,face,same,0.7596
R3861,local,V1-V4,face,diff,0.4851
R3861,local,V1-V4,house,same,0.9
R3861,local,V1-V4,house,diff,1.162
R3861,local,V1d,face,same,0.5362
R3861,local,V1d,face,diff,0.3156
R3861,local,V1d,house,same,0.6739
R3861,local,V1d,house,diff,0.8518
R3861,local,V1v,face,same,0.4891
R3861,local,V1v,face,diff,0.107
R3861,local,V1v,house,same,0.6204
R3861,local,V1v,house,diff,0.7882
R3861,local,V2,face,same,0.8008
R3861,local,V2,face,diff,0.5559
R3861,local,V2,house,same,0.9085
R3861,local,V2,house,diff,1.15
R3861,local,V2d,face,same,0.8548
R3861,local,V2d,face,diff,0.6482
R3861,local,V2d,house,same,0.9506
R3861,local,V2d,house,diff,1.237
R3861,local,V2v,face,same,0.7501
R3861,local,V2v,face,diff,0.4691
R3861,local,V2v,house,same,0.869
R3861,local,V2v,house,diff,1.068
R3861,local,V3,face,same,0.8943
R3861,local,V3,face,diff,0.6081
R3861,local,V3,house,same,1.079
R3861,local,V3,house,diff,1.452
R3861,local,V3a,face,same,0.5511
R3861,local,V3a,face,diff,0.0399
R3861,local,V3a,house,same,0.6679
R3861,local,V3a,house,diff,1.05
R3861,local,V3b,face,same,0.9496
R3861,local,V3b,face,diff,0.5125
R3861,local,V3b,house,same,0.8794
R3861,local,V3b,house,diff,1.383
R3861,local,V3d,face,same,1.215
R3861,local,V3d,face,diff,0.8838
R3861,local,V3d,house,same,1.443
R3861,local,V3d,house,diff,1.963
R3861,local,V3v,face,same,0.5369
R3861,local,V3v,face,diff,0.3011
R3861,local,V3v,house,same,0.6739
R3861,local,V3v,house,diff,0.8838
R3861,local,VO1,face,same,0.3431
R3861,local,VO1,face,diff,0.05755
R3861,local,VO1,house,same,0.3459
R3861,local,VO1,house,diff,0.5528
R3861,local,VO2,face,same,0.3531
R3861,local,VO2,face,diff,-0.03873
R3861,local,VO2,house,same,0.2848
R3861,local,VO2,house,diff,0.501
R3861,local,all_regions,face,same,0.6755
R3861,local,all_regions,face,diff,0.3749
R3861,local,all_regions,house,same,0.7372
R3861,local,all_regions,house,diff,1.022
R3861,local,ffa_24_bilat,face,same,0.4611
R3861,local,ffa_24_bilat,face,diff,0.2393
R3861,local,ffa_24_bilat,house,same,0.3444
R3861,local,ffa_24_bilat,house,diff,0.5101
R3861,local,ffa_24_left,face,same,0.3018
R3861,local,ffa_24_left,face,diff,-0.01221
R3861,local,ffa_24_left,house,same,0.243
R3861,local,ffa_24_left,house,diff,0.2995
R3861,local,ffa_24_right,face,same,0.6373
R3861,local,ffa_24_right,face,diff,0.5176
R3861,local,ffa_24_right,house,same,0.4566
R3861,local,ffa_24_right,house,diff,0.7431
R3861,local,ffa_31_bilat,face,same,0.5427
R3861,local,ffa_31_bilat,face,diff,0.3254
R3861,local,ffa_31_bilat,house,same,0.404
R3861,local,ffa_31_bilat,house,diff,0.6126
R3861,local,ffa_31_left,face,same,0.3306
R3861,local,ffa_31_left,face,diff,0.000551
R3861,local,ffa_31_left,house,same,0.2587
R3861,local,ffa_31_left,house,diff,0.3417
R3861,local,ffa_31_right,face,same,0.732
R3861,local,ffa_31_right,face,diff,0.6152
R3861,local,ffa_31_right,house,same,0.5336
R3861,local,ffa_31_right,house,diff,0.8543
R3861,local,ffa_38_bilat,face,same,0.7453
R3861,local,ffa_38_bilat,face,diff,0.6403
R3861,local,ffa_38_bilat,house,same,0.563
R3861,local,ffa_38_bilat,house,diff,0.887
R3861,local,ffa_38_left,face,same,0.04872
R3861,local,ffa_38_left,face,diff,-0.3486
R3861,local,ffa_38_left,house,same,0.1022
R3861,local,ffa_38_left,house,diff,-0.04486
R3861,local,ffa_38_right,face,same,0.7552
R3861,local,ffa_38_right,face,diff,0.6544
R3861,local,ffa_38_right,house,same,0.5696
R3861,local,ffa_38_right,house,diff,0.9003
R3861,local,ffa_left_100,face,same,0.1146
R3861,local,ffa_left_100,face,diff,-0.08031
R3861,local,ffa_left_100,house,same,0.09175
R3861,local,ffa_left_100,house,diff,0.05429
R3861,local,ffa_left_150,face,same,0.1146
R3861,local,ffa_left_150,face,diff,-0.08031
R3861,local,ffa_left_150,house,same,0.09175
R3861,local,ffa_left_150,house,diff,0.05429
R3861,local,ffa_left_23,face,same,0.1146
R3861,local,ffa_left_23,face,diff,-0.08031
R3861,local,ffa_left_23,house,same,0.09175
R3861,local,ffa_left_23,house,diff,0.05429
R3861,local,ffa_left_31,face,same,0.08684
R3861,local,ffa_left_31,face,diff,-0.07619
R3861,local,ffa_left_31,house,same,0.07134
R3861,local,ffa_left_31,house,diff,0.01891
R3861,local,ffa_left_50,face,same,0.08529
R3861,local,ffa_left_50,face,diff,-0.076
R3861,local,ffa_left_50,house,same,0.07309
R3861,local,ffa_left_50,house,diff,0.02185
R3861,local,ffa_right_100,face,same,0.3225
R3861,local,ffa_right_100,face,diff,0.2506
R3861,local,ffa_right_100,house,same,0.2618
R3861,local,ffa_right_100,house,diff,0.3279
R3861,local,ffa_right_150,face,same,0.3225
R3861,local,ffa_right_150,face,diff,0.2506
R3861,local,ffa_right_150,house,same,0.2618
R3861,local,ffa_right_150,house,diff,0.3279
R3861,local,ffa_right_23,face,same,0.3225
R3861,local,ffa_right_23,face,diff,0.2506
R3861,local,ffa_right_23,house,same,0.2618
R3861,local,ffa_right_23,house,diff,0.3279
R3861,local,ffa_right_31,face,same,0.33
R3861,local,ffa_right_31,face,diff,0.2513
R3861,local,ffa_right_31,house,same,0.2576
R3861,local,ffa_right_31,house,diff,0.3079
R3861,local,ffa_right_50,face,same,0.3229
R3861,local,ffa_right_50,face,diff,0.2479
R3861,local,ffa_right_50,house,same,0.2534
R3861,local,ffa_right_50,house,diff,0.3039
R3861,local,hMT,face,same,0.2079
R3861,local,hMT,face,diff,-0.01103
R3861,local,hMT,house,same,0.2524
R3861,local,hMT,house,diff,0.5578
R3861,local,hV4,face,same,0.5597
R3861,local,hV4,face,diff,0.3626
R3861,local,hV4,house,same,0.5705
R3861,local,hV4,house,diff,0.793
R3861,local,ofa_24_bilat,face,same,0.3352
R3861,local,ofa_24_bilat,face,diff,0.0075
R3861,local,ofa_24_bilat,house,same,0.1232
R3861,local,ofa_24_bilat,house,diff,0.2396
R3861,local,ofa_left_100,face,same,0.6164
R3861,local,ofa_left_100,face,diff,0.3347
R3861,local,ofa_left_100,house,same,0.5789
R3861,local,ofa_left_100,house,diff,0.708
R3861,local,ofa_right_100,face,same,0.8854
R3861,local,ofa_right_100,face,diff,0.6235
R3861,local,ofa_right_100,house,same,0.4629
R3861,local,ofa_right_100,house,diff,0.908
R3861,local,opa_24_bilat,face,same,0.6522
R3861,local,opa_24_bilat,face,diff,0.4658
R3861,local,opa_24_bilat,house,same,0.7122
R3861,local,opa_24_bilat,house,diff,0.9597
R3861,local,opa_left_100,face,same,2.048
R3861,local,opa_left_100,face,diff,1.646
R3861,local,opa_left_100,house,same,1.722
R3861,local,opa_left_100,house,diff,2.645
R3861,local,opa_right_100,face,same,0.6836
R3861,local,opa_right_100,face,diff,0.5317
R3861,local,opa_right_100,house,same,0.5811
R3861,local,opa_right_100,house,diff,1.012
R3861,local,ppa_24_bilat,face,same,0.3391
R3861,local,ppa_24_bilat,face,diff,0.08418
R3861,local,ppa_24_bilat,house,same,0.3288
R3861,local,ppa_24_bilat,house,diff,0.5347
R3861,local,ppa_24_left,face,same,0.3169
R3861,local,ppa_24_left,face,diff,0.06701
R3861,local,ppa_24_left,house,same,0.2787
R3861,local,ppa_24_left,house,diff,0.4689
R3861,local,ppa_24_right,face,same,0.3612
R3861,local,ppa_24_right,face,diff,0.1013
R3861,local,ppa_24_right,house,same,0.3786
R3861,local,ppa_24_right,house,diff,0.6002
R3861,local,ppa_31_bilat,face,same,0.41
R3861,local,ppa_31_bilat,face,diff,0.1414
R3861,local,ppa_31_bilat,house,same,0.4007
R3861,local,ppa_31_bilat,house,diff,0.6406
